Date,spx
18/08/2020,3389.78
17/08/2020,3381.99
14/08/2020,3372.85
13/08/2020,3373.43
12/08/2020,3380.35
11/08/2020,3333.69
10/08/2020,3360.47
07/08/2020,3351.28
06/08/2020,3349.16
05/08/2020,3327.77
04/08/2020,3306.51
03/08/2020,3294.61
31/07/2020,3271.12
30/07/2020,3246.22
29/07/2020,3258.44
28/07/2020,3218.44
27/07/2020,3239.41
24/07/2020,3215.63
23/07/2020,3235.66
22/07/2020,3276.02
21/07/2020,3257.3
20/07/2020,3251.84
17/07/2020,3224.73
16/07/2020,3215.57
15/07/2020,3226.56
14/07/2020,3197.52
13/07/2020,3155.22
10/07/2020,3185.04
09/07/2020,3152.05
08/07/2020,3169.94
07/07/2020,3145.32
06/07/2020,3179.72
02/07/2020,3130.01
01/07/2020,3115.86
30/06/2020,3100.29
29/06/2020,3053.24
26/06/2020,3009.05
25/06/2020,3083.76
24/06/2020,3050.33
23/06/2020,3131.29
22/06/2020,3117.86
19/06/2020,3097.74
18/06/2020,3115.34
17/06/2020,3113.49
16/06/2020,3124.74
15/06/2020,3066.59
12/06/2020,3041.31
11/06/2020,3002.1
10/06/2020,3190.14
09/06/2020,3207.18
08/06/2020,3232.39
05/06/2020,3193.93
04/06/2020,3112.35
03/06/2020,3122.87
02/06/2020,3080.82
01/06/2020,3055.73
29/05/2020,3044.31
28/05/2020,3029.73
27/05/2020,3036.13
26/05/2020,2991.77
22/05/2020,2955.45
21/05/2020,2948.51
20/05/2020,2971.61
19/05/2020,2922.94
18/05/2020,2953.91
15/05/2020,2863.7
14/05/2020,2852.5
13/05/2020,2820
12/05/2020,2870.12
11/05/2020,2930.32
08/05/2020,2929.8
07/05/2020,2881.19
06/05/2020,2848.42
05/05/2020,2868.44
04/05/2020,2842.74
01/05/2020,2830.71
30/04/2020,2912.43
29/04/2020,2939.51
28/04/2020,2863.39
27/04/2020,2878.48
24/04/2020,2836.74
23/04/2020,2797.8
22/04/2020,2799.31
21/04/2020,2736.56
20/04/2020,2823.16
17/04/2020,2874.56
16/04/2020,2799.55
15/04/2020,2783.36
14/04/2020,2846.06
13/04/2020,2761.63
09/04/2020,2789.82
08/04/2020,2749.98
07/04/2020,2659.41
06/04/2020,2663.68
03/04/2020,2488.65
02/04/2020,2526.9
01/04/2020,2470.5
31/03/2020,2584.59
30/03/2020,2626.65
27/03/2020,2541.47
26/03/2020,2630.07
25/03/2020,2475.56
24/03/2020,2447.33
23/03/2020,2237.4
20/03/2020,2304.92
19/03/2020,2409.39
18/03/2020,2398.1
17/03/2020,2529.19
16/03/2020,2386.13
13/03/2020,2711.02
12/03/2020,2480.64
11/03/2020,2741.38
10/03/2020,2882.23
09/03/2020,2746.56
06/03/2020,2972.37
