Date,ftse
26/01/2022,7469.78
25/01/2022,7371.46
24/01/2022,7297.15
21/01/2022,7494.13
20/01/2022,7585.01
19/01/2022,7589.66
18/01/2022,7563.55
17/01/2022,7611.23
14/01/2022,7542.95
13/01/2022,7563.85
12/1/2022,7551.72
11/1/2022,7491.37
10/1/2022,7445.25
7/1/2022,7485.28
6/1/2022,7450.37
5/1/2022,7516.87
4/1/2022,7505.15
31/12/2021,7384.54
30/12/2021,7403.01
29/12/2021,7420.69
24/12/2021,7372.1
23/12/2021,7373.34
22/12/2021,7341.66
21/12/2021,7297.41
20/12/2021,7198.03
17/12/2021,7269.92
16/12/2021,7260.61
15/12/2021,7170.75
14/12/2021,7218.64
13/12/2021,7231.44
10/12/2021,7291.78
9/12/2021,7321.26
8/12/2021,7337.05
7/12/2021,7339.9
6/12/2021,7232.28
3/12/2021,7122.32
2/12/2021,7129.21
1/12/2021,7168.68
30/11/2021,7059.45
29/11/2021,7109.95
26/11/2021,7044.03
25/11/2021,7310.37
24/11/2021,7286.32
23/11/2021,7266.69
22/11/2021,7255.46
19/11/2021,7223.57
18/11/2021,7255.96
17/11/2021,7291.2
16/11/2021,7326.97
15/11/2021,7351.86
12/11/2021,7347.91
11/11/2021,7384.18
10/11/2021,7340.15
9/11/2021,7274.04
8/11/2021,7300.4
5/11/2021,7303.96
4/11/2021,7279.91
3/11/2021,7248.89
2/11/2021,7274.81
1/11/2021,7288.62
29/10/2021,7237.57
28/10/2021,7249.47
27/10/2021,7253.27
26/10/2021,7277.62
25/10/2021,7222.82
22/10/2021,7204.55
21/10/2021,7190.3
20/10/2021,7223.1
19/10/2021,7217.53
18/10/2021,7203.83
15/10/2021,7234.03
14/10/2021,7207.71
13/10/2021,7141.82
12/10/2021,7130.23
11/10/2021,7146.85
8/10/2021,7095.55
7/10/2021,7078.04
6/10/2021,6995.87
5/10/2021,7077.1
4/10/2021,7011.01
1/10/2021,7027.07
30/09/2021,7086.42
29/09/2021,7108.16
28/09/2021,7028.1
27/09/2021,7063.4
24/09/2021,7051.48
23/09/2021,7078.35
22/09/2021,7083.37
21/09/2021,6980.98
20/09/2021,6903.91
17/09/2021,6963.64
16/09/2021,7027.48
15/09/2021,7016.49
14/09/2021,7034.06
13/09/2021,7068.43
10/9/2021,7029.2
9/9/2021,7024.21
8/9/2021,7095.53
7/9/2021,7149.37
6/9/2021,7187.18
3/9/2021,7138.35
2/9/2021,7163.9
1/9/2021,7149.84
31/08/2021,7119.7
27/08/2021,7148.01
26/08/2021,7124.98
25/08/2021,7150.12
24/08/2021,7125.78
23/08/2021,7109.02
20/08/2021,7087.9
19/08/2021,7058.86
18/08/2021,7169.32
17/08/2021,7181.11
16/08/2021,7153.98
13/08/2021,7218.71
12/8/2021,7193.23
11/8/2021,7220.14
10/8/2021,7161.04
9/8/2021,7132.3
6/8/2021,7122.95
5/8/2021,7120.43
4/8/2021,7123.86
3/8/2021,7105.72
2/8/2021,7081.72
30/07/2021,7032.3
29/07/2021,7078.42
28/07/2021,7016.63
27/07/2021,6996.08
26/07/2021,7025.43
23/07/2021,7027.58
22/07/2021,6968.3
21/07/2021,6998.28
20/07/2021,6881.13
19/07/2021,6844.39
16/07/2021,7008.09
15/07/2021,7012.02
14/07/2021,7091.19
13/07/2021,7124.72
12/7/2021,7125.42
9/7/2021,7121.88
8/7/2021,7030.66
7/7/2021,7151.02
6/7/2021,7100.88
5/7/2021,7164.91
2/7/2021,7123.27
1/7/2021,7125.16
30/06/2021,7037.47
29/06/2021,7087.55
28/06/2021,7072.97
25/06/2021,7136.07
24/06/2021,7109.97
23/06/2021,7074.06
22/06/2021,7090.01
21/06/2021,7062.29
18/06/2021,7017.47
17/06/2021,7153.43
16/06/2021,7184.95
15/06/2021,7172.48
14/06/2021,7146.68
11/6/2021,7134.06
10/6/2021,7088.18
9/6/2021,7081.01
8/6/2021,7095.09
7/6/2021,7077.22
4/6/2021,7069.04
3/6/2021,7064.35
2/6/2021,7108
1/6/2021,7080.46
28/05/2021,7022.61
27/05/2021,7019.67
